license_number,provider_name,first_name,last_name,license_type,profession_code,specialty,status,issue_date,expiration_date,last_renewal_date,address_line1,address_city,address_state,address_zip,phone,disciplinary_actions,board_certified,medical_school,verification_date,middle_name,suffix,secondary_specialty,renewal_date,county,email,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated,npi,entity_type_code,replacement_npi,employer_identification_number,provider_organization_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential_text,provider_other_organization_name,provider_other_organization_name_type_code,provider_other_last_name,provider_other_first_name,provider_other_middle_name,provider_other_name_prefix,provider_other_name_suffix,provider_other_credential_text,provider_other_last_name_type_code,provider_business_mailing_address_line1,provider_business_mailing_address_line2,provider_business_mailing_address_city,provider_business_mailing_address_state,provider_business_mailing_address_zip,provider_business_mailing_address_country_code,provider_business_mailing_address_phone,provider_business_mailing_address_fax,provider_business_practice_location_address_line1,provider_business_practice_location_address_line2,provider_business_practice_location_address_city,provider_business_practice_location_address_state,provider_business_practice_location_address_zip,provider_business_practice_location_address_country_code,provider_business_practice_location_address_phone,provider_business_practice_location_address_fax,provider_enumeration_date,last_update_date,npi_deactivation_reason_code,npi_deactivation_date,npi_reactivation_date,provider_gender_code,authorized_official_last_name,authorized_official_first_name,authorized_official_middle_name,authorized_official_title,authorized_official_phone,healthcare_provider_taxonomy_code_1,provider_license_number_1,provider_license_number_state_code_1,healthcare_provider_primary_taxonomy_switch_1,healthcare_provider_taxonomy_code_2,provider_license_number_2,provider_license_number_state_code_2,healthcare_provider_primary_taxonomy_switch_2,other_provider_identifier_1,other_provider_identifier_type_code_1,other_provider_identifier_state_1,other_provider_identifier_issuer_1,other_provider_identifier_2,other_provider_identifier_type_code_2,other_provider_identifier_state_2,other_provider_identifier_issuer_2,is_sole_proprietor,is_organization_subpart,parent_organization_lbn,parent_organization_tin,npi_certification_date
060NY460663,"Ramirez, Ahmed MD PhD",Ahmed,Ramirez,Physician,60.0,Internal Medicine,Expired,2019-02-27,2024-06-25,2024-04-02,3528 Third Ave,Brooklyn,NY,10002,(424) 396-2139,[],True,Stanford University School of Medicine,2025-09-02,,,,,,,,,,,,,,,,7816184956.0,1.0,,,,Ramirez,Ahmed,R,,,MD PhD,,,,,,,,,,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,,02/04/2017,02/18/2025,,,,M,,,,,,207R00000X,060NY460663,NY,Y,,,,,,,,,,,,,,N,,,02/04/2017
060NY460663,"Ramirez, Ahmed MD PhD",Ahmed,Ramirez,Physician,60.0,Internal Medicine,Expired,2019-02-27,2024-06-25,2024-04-02,3528 Third Ave,Brooklyn,NY,10002,(424) 396-2139,[],True,Stanford University School of Medicine,2025-09-02,,,,,,,,,,,,,,,,4778948967.0,1.0,,,,Ramirez,Ahmed G,L,,,MD PhD,,,,,,,,,,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,(646) 959-5934,3528 Third Ave,,Brooklyn,NY,10002,US,(424) 396-2139,(646) 959-5934,08/25/2016,07/22/2025,,,,,,,,,,207R00000X,060NY460663,NY,Y,,,,,"{""identifier"": ""BA3832174"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,,,,,N,,,08/25/2016
060NY821590,"Thomas Robinson, MD PhD",Thomas,Robinson,Physician,60.0,Radiology,Expired,2017-10-08,2024-03-25,2023-10-24,5821 Park Ave,Buffalo,NY,10002,(818) 522-4483,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,305641393.0,1.0,,,,Robinson,Thomas,,,,MD PhD,,,,,,,,,,5821 Park Ave,,Buffalo,NY,10002,US,(818) 522-4483,,5821 Park Ave,,Buffalo,NY,10002,US,(818) 522-4483,,06/10/2019,01/05/2025,,,,F,,,,,,207R00000X,060NY821590,NY,Y,,,,,"{""identifier"": ""060NY821590"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,Y,N,,,06/10/2019
060NY821590,"Thomas Robinson, MD PhD",Thomas,Robinson,Physician,60.0,Radiology,Expired,2017-10-08,2024-03-25,2023-10-24,5821 Park Ave,Buffalo,NY,10002,(818) 522-4483,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,4067917668.0,1.0,,,,Robinson,Thomas K,J,,,MD PhD,,,,,,,,,,5821 Park Ave,,Buffalo,NY,10002,US,818 522 4483,(626) 519-5933,5821 Park Ave,,Buffalo,NY,10002,US,818 522 4483,(626) 519-5933,09/14/2017,10/12/2024,,,,M,,,,,,207R00000X,060NY821590,NY,Y,207R00000X,,,N,"{""identifier"": ""060NY821590"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BM7821267"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,09/14/2017
060NY412942,"Linda Hernandez, DO PhD",Linda,Hernandez,Physician,60.0,Urology,Active,2021-02-01,2025-11-05,2023-11-22,4316 York Ave,Queens,NY,14201,3102192832,[],False,Harvard Medical School,2025-09-02,,,,,,,,,,,,,,,,3252880955.0,1.0,,,,Hernandez,Linda,J,,,DO PhD,,,,,,,,,,4316 York Ave,,Queens,NY,14201,US,3102192832,(718) 825-1570,4316 York Ave,,Queens,NY,14201,US,3102192832,(718) 825-1570,10/30/2024,10/02/2024,,,,,,,,,,207U00000X,060NY412942,NY,Y,,,,,,,,,,,,,,N,,,10/30/2024
060NY412942,"Linda Hernandez, DO PhD",Linda,Hernandez,Physician,60.0,Urology,Active,2021-02-01,2025-11-05,2023-11-22,4316 York Ave,Queens,NY,14201,3102192832,[],False,Harvard Medical School,2025-09-02,,,,,,,,,,,,,,,,8842163091.0,1.0,,,,Hernandez,Linda B,,Dr.,,DO PhD,,,,,,,,,,4316 York Ave,,Queens,NY,14201,US,,,4316 York Ave,,Queens,NY,142**,US,310- 219-2832,,12/02/2017,11/12/2024,,,,,,,,,,207U00000X,060NY412942,NY,Y,207P00000X,,,N,"{""identifier"": ""060NY412942"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BF4556965"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,12/02/2017
060NY698782,"Mohammed Williams, MD PhD",Mohammed,Williams,Physician,60.0,Psychiatry,Expired,2023-05-14,2025-08-26,2024-11-01,3900 Lexington Ave,Syracuse,NY,10004,(310) 946-1887,"[{""action_type"": ""Fine"", ""action_date"": ""2025-05-29"", ""description"": ""Disciplinary action related to documentation""}]",True,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,7631165667.0,1.0,,32-7261161,,Williams,Mohammed,M,,,MD PhD,,,,,,,,,,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,(818) 599-5190,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,(818) 599-5190,05/14/2020,08/19/2025,,,,M,,,,,,207P00000X,060NY698782,NY,Y,,,,,"{""identifier"": ""060NY698782"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,Y,N,,,05/14/2020
060NY698782,"Mohammed Williams, MD PhD",Mohammed,Williams,Physician,60.0,Psychiatry,Expired,2023-05-14,2025-08-26,2024-11-01,3900 Lexington Ave,Syracuse,NY,10004,(310) 946-1887,"[{""action_type"": ""Fine"", ""action_date"": ""2025-05-29"", ""description"": ""Disciplinary action related to documentation""}]",True,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,8953263898.0,1.0,,,,Williams,Mohammed A,,,,MD PhD,,,,,,,,,,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,,3900 Lexington Ave,,Syracuse,NY,10004,US,(310) 946-1887,,03/07/2024,04/28/2025,,,,F,,,,,,207P00000X,060NY698782,NY,Y,,,,,"{""identifier"": ""BA9178451"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,,,,,N,,,03/07/2024
060NY197793,"Christopher Gonzalez, DO PhD",Christopher,Gonzalez,Physician,60.0,Orthopedic Surgery,Expired,2020-04-09,2024-04-29,2022-05-14,3007 Lexington Ave,Syracuse,NY,10004,(213) 471-8454,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,6773602605.0,1.0,,,,Gonzalez,Christopher,,,,DO PhD,,,,,,,,,,3007 Lexington Ave,,Syracuse,NY,10004,US,(213) 471-8454,(424) 252-1580,3007 Lexington Ave,,Syracuse,NY,10004,US,(213) 471-8454,(424) 252-1580,04/03/2016,09/12/2024,,,,F,,,,,,207X00000X,060NY197793,NY,Y,207L00000X,,,N,"{""identifier"": ""060NY197793"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BM2672332"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,Y,N,,,04/03/2016
060NY197793,"Christopher Gonzalez, DO PhD",Christopher,Gonzalez,Physician,60.0,Orthopedic Surgery,Expired,2020-04-09,2024-04-29,2022-05-14,3007 Lexington Ave,Syracuse,NY,10004,(213) 471-8454,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,2199471133.0,1.0,,,,Gonzalez,Christopher N,R,,,DO PhD,,,,,,,,,,9017 Fifth Ave,,New York,NY,14201,US,,,3007 Lexington Ave,,Syracuse,NY,10004,US,2134718454,,01/01/2025,04/16/2025,,,,F,,,,,,207X00000X,060NY197793,NY,Y,,,,,"{""identifier"": ""060NY197793"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,N,N,,,01/01/2025
